Mouse ID,Worm ID,Category,Broken(Y/N),Length,Width,Half of Width,Volume(um^3),Volume(cm^3)or (ml),Mass Density (gm/ml),,,
5952,4,20 Eggs,N,1504.694,20.691,10.3455,505942.3481,5.05942E-07,5.56537E-07,,,
5952,5,20 Eggs,N,1851.106,18.527,9.2635,499035.4215,4.99035E-07,5.48939E-07,,,
5952,6,20 Eggs,N,1852.819,19.36175,9.680875,545521.7785,5.45522E-07,6.00074E-07,,,
5952,7,20 Eggs,N,2116.937,22.548,11.274,845305.8358,8.45306E-07,9.29836E-07,,,
5952,8,20 Eggs,N,1854.107,24.22825,12.114125,854808.373,8.54808E-07,9.40289E-07,,,
5952,9,20 Eggs,N,1918.643,18.427,9.2135,511673.973,5.11674E-07,5.62841E-07,,,
5952,10,20 Eggs,N,2695.349,18.973,9.4865,762038.4788,7.62038E-07,8.38242E-07,,,
5952,11,20 Eggs,N,1985.613,21.393,10.6965,713720.0073,7.1372E-07,7.85092E-07,,,
5952,12,20 Eggs,N,1642.201,21.183,10.5915,578750.1626,5.7875E-07,6.36625E-07,,,
5952,13,20 Eggs,N,1054.877,26.171,13.0855,567456.1923,5.67456E-07,6.24202E-07,,,
5952,14,20 Eggs,N,2047.188,20.453,10.2265,672607.4064,6.72607E-07,7.39868E-07,,,
5952,15,20 Eggs,N,1919.707,22.117,11.0585,737525.8822,7.37526E-07,8.11278E-07,,,
5952,16,20 Eggs,N,2826.744,22.893,11.4465,1163541.23,1.16354E-06,1.2799E-06,,,
5952,17,20 Eggs,N,1979.423,19.447,9.7235,587940.9666,5.87941E-07,6.46735E-07,,,
5952,18,20 Eggs,N,1658.863,22.0085,11.00425,631075.4563,6.31075E-07,6.94183E-07,,,
5952,19,20 Eggs,N,2731.089,19.621,9.8105,825786.9397,8.25787E-07,9.08366E-07,,,
5952,20,20 Eggs,N,1631.445,20.475,10.2375,537168.0079,5.37168E-07,5.90885E-07,,,
5952,21,20 Eggs,N,2008.423,23.227,11.6135,851003.4239,8.51003E-07,9.36104E-07,,,
5952,22,20 Eggs,N,1978.704,18.54,9.27,534183.1352,5.34183E-07,5.87601E-07,,,
5952,22,20 Eggs,N,1978.704,18.54,9.27,534183.1352,5.34183E-07,5.87601E-07,,,
5953,1,20 Eggs,N,2050.374,18.7865,9.39325,568348.5039,5.68349E-07,6.25183E-07,,,
5953,2,20 Eggs,N,2145.248,19.721,9.8605,655277.4959,6.55277E-07,7.20805E-07,,,
5953,3,20 Eggs,N,1928.677,16.0955,8.04775,392426.5006,3.92427E-07,4.31669E-07,,,
5953,4,20 Eggs,N,1878.44,22.407,11.2035,740720.9658,7.40721E-07,8.14793E-07,,,
5953,5,20 Eggs,N,2403.087,20.927,10.4635,826557.9817,8.26558E-07,9.09214E-07,,,
5953,6,20 Eggs,N,2300.485,20.763,10.3815,778913.9737,7.78914E-07,8.56805E-07,,,
5953,7,20 Eggs,N,1512.971,20.963,10.4815,522188.5607,5.22189E-07,5.74407E-07,,,
5953,8,20 Eggs,N,2259.608,24.203,12.1015,1039588.308,1.03959E-06,1.14355E-06,,,
5953,9,20 Eggs,N,2354.968,17.959,8.9795,596539.4816,5.96539E-07,6.56193E-07,,,
5953,10,20 Eggs,N,2091.153,18.7005,9.35025,574357.2768,5.74357E-07,6.31793E-07,,,
5953,11,20 Eggs,N,2090.326,19.115,9.5575,599863.5986,5.99864E-07,6.5985E-07,,,
5953,12,20 Eggs,N,2093.148,21.594,10.797,766577.402,7.66577E-07,8.43235E-07,,,
5954,1,20 Eggs,N,970,16.771,8.3855,214278.9618,2.14279E-07,2.35707E-07,,,
5954,2,20 Eggs,N,817.837,14.664,7.332,138121.5807,1.38122E-07,1.51934E-07,,,
5954,3,20 Eggs,N,840.786,13.512,6.756,120563.161,1.20563E-07,1.32619E-07,,,
5954,4,20 Eggs,N,1604.358,20.176,10.088,512933.7834,5.12934E-07,5.64227E-07,,,
5954,5,20 Eggs,N,1183.163,17.237,8.6185,276094.544,2.76095E-07,3.03704E-07,,,
5954,6,20 Eggs,N,863.603,21.428,10.714,311434.9145,3.11435E-07,3.42578E-07,,,
5954,7,20 Eggs,N,1091.308,16.541,8.2705,234509.6635,2.3451E-07,2.57961E-07,,,
5954,8,20 Eggs,N,732.136,15.5,7.75,138148.1393,1.38148E-07,1.51963E-07,,,
5954,9,20 Eggs,N,711.445,20.67,10.335,238732.8409,2.38733E-07,2.62606E-07,,,
5955,1,20 Eggs,N,2096.169,17.698,8.849,515661.321,5.15661E-07,5.67227E-07,,,
5955,2,20 Eggs,N,1712.802,19.25,9.625,498492.3644,4.98492E-07,5.48342E-07,,,
5955,3,20 Eggs,N,2187.477,22.506,11.253,870221.8945,8.70222E-07,9.57244E-07,,,
5955,4,20 Eggs,Y(Head),854.073,19.357,9.6785,251339.6316,2.5134E-07,2.76474E-07,,,
5955,5,20 Eggs,Y(Tail),742.79,24.152,12.076,340300.1415,3.403E-07,3.7433E-07,,,
5955,6,20 Eggs,N,1505.547,20.757,10.3785,509463.846,5.09464E-07,5.6041E-07,,,
5955,7,20 Eggs,N,1904.933,18.987,9.4935,539364.4117,5.39364E-07,5.93301E-07,,,
5955,8,20 Eggs,N,1628.001,21.732,10.866,603870.6769,6.03871E-07,6.64258E-07,,,
5955,9,20 Eggs,N,2133.868,17.995,8.9975,542701.6401,5.42702E-07,5.96972E-07,,,
5956,1,20 Eggs,N,2219.065,25.203,12.6015,1107042.729,1.10704E-06,1.21775E-06,,,
5956,2,20 Eggs,N,1748.877,24.887,12.4435,850734.8879,8.50735E-07,9.35808E-07,,,
5956,3,20 Eggs,N,2153.032,25.173,12.5865,1071544.762,1.07154E-06,1.1787E-06,,,
5956,4,20 Eggs,N,1645.378,23.972,11.986,742615.664,7.42616E-07,8.16877E-07,,,
5956,5,20 Eggs,N,2162.457,25.708,12.854,1122467.937,1.12247E-06,1.23471E-06,,,
5956,6,20 Eggs,N,2703.569,24.41,12.205,1265210.823,1.26521E-06,1.39173E-06,,,
5956,7,20 Eggs,N,2257.321,24.48,12.24,1062443.956,1.06244E-06,1.16869E-06,,,
5956,8,20 Eggs,N,2228.026,25.131,12.5655,1105171.498,1.10517E-06,1.21569E-06,,,
5956,9,20 Eggs,N,1923.582,24.105,12.0525,877838.9718,8.77839E-07,9.65623E-07,,,
5956,10,20 Eggs,Y(Tail),1434.996,25.52,12.76,734009.8906,7.3401E-07,8.07411E-07,,,
5956,11,20 Eggs,N,2019.241,25.398,12.699,1023003.395,1.023E-06,1.1253E-06,,,
5956,12,20 Eggs,Y(Head),1127.815,19.125,9.5625,323989.2761,3.23989E-07,3.56388E-07,,,
5956,13,20 Eggs,Y(Head),1198.517,17.724,8.862,295704.2474,2.95704E-07,3.25275E-07,,,
5956,14,20 Eggs,N,2119.094,24.959,12.4795,1036798.751,1.0368E-06,1.14048E-06,,,
5956,15,20 Eggs,N,1706.676,21.654,10.827,628517.2875,6.28517E-07,6.91369E-07,,,
5956,16,20 Eggs,N,2331.062,25.427,12.7135,1183679.026,1.18368E-06,1.30205E-06,,,
5956,17,20 Eggs,N,1673.874,25.427,12.7135,849968.6176,8.49969E-07,9.34965E-07,,,
5956,18,20 Eggs,N,1714.677,21.202,10.601,605376.9265,6.05377E-07,6.65915E-07,,,
5958,1,20 Eggs,N,2015.112,25.828,12.914,1055773.182,1.05577E-06,1.16135E-06,,,
5958,2,20 Eggs,N,1154.369,24.059,12.0295,524794.991,5.24795E-07,5.77274E-07,,,
5958,3,20 Eggs,N,2444.921,27.777,13.8885,1481580.966,1.48158E-06,1.62974E-06,,,
5958,4,20 Eggs,N,2168.925,25.004,12.502,1065009.291,1.06501E-06,1.17151E-06,,,
5958,5,20 Eggs,N,1954.351,22.525,11.2625,778793.012,7.78793E-07,8.56672E-07,,,
5958,6,20 Eggs,N,1510.452,23.947,11.9735,680297.7559,6.80298E-07,7.48328E-07,,,
5958,7,20 Eggs,N,1861.314,26.007,13.0035,988758.0689,9.88758E-07,1.08763E-06,,,
5958,8,20 Eggs,N,1906.716,25.785,12.8925,995657.9454,9.95658E-07,1.09522E-06,,,
5958,9,20 Eggs,N,1220.433,22.281,11.1405,475853.4046,4.75853E-07,5.23439E-07,,,
5958,10,20 Eggs,N,680.501,14.421,7.2105,111149.9836,1.1115E-07,1.22265E-07,,,
5959,1,20 Eggs,N,2028.977,21.964,10.982,768758.4022,7.68758E-07,8.45634E-07,,,
5959,2,20 Eggs,N,1699.963,20.689,10.3445,571489.6238,5.7149E-07,6.28639E-07,,,
5959,3,20 Eggs,N,1435.463,21.015,10.5075,497898.3337,4.97898E-07,5.47688E-07,,,
5959,4,20 Eggs,N,1462.066,23.304,11.652,623616.7943,6.23617E-07,6.85978E-07,,,
5959,5,20 Eggs,N,2023.146,22.507,11.2535,804919.2761,8.04919E-07,8.85411E-07,,,
5959,6,20 Eggs,N,1759.51,25.277,12.6385,882943.0201,8.82943E-07,9.71237E-07,,,
5959,7,20 Eggs,N,1735.448,20.253,10.1265,559088.053,5.59088E-07,6.14997E-07,,,
5959,8,20 Eggs,N,1710.881,24.949,12.4745,836403.7489,8.36404E-07,9.20044E-07,,,
5959,9,20 Eggs,N,1742.374,25.031,12.5155,857408.2612,8.57408E-07,9.43149E-07,,,
5959,10,20 Eggs,N,1596.392,24.294,12.147,739992.7732,7.39993E-07,8.13992E-07,,,
5959,11,20 Eggs,N,1736.148,24.977,12.4885,850662.2754,8.50662E-07,9.35729E-07,,,
5959,12,20 Eggs,Y(Tail),1040.791,26.551,13.2755,576255.6213,5.76256E-07,6.33881E-07,,,
5959,13,20 Eggs,N,1830.93,26.308,13.154,995261.6925,9.95262E-07,1.09479E-06,,,
5959,14,20 Eggs,N,2187.198,28.818,14.409,1426611.286,1.42661E-06,1.56927E-06,,,
5959,15,20 Eggs,N,934.824,19.323,9.6615,274137.7492,2.74138E-07,3.01552E-07,,,
5959,16,20 Eggs,N,1748.951,21.431,10.7155,630888.1877,6.30888E-07,6.93977E-07,,,
5959,17,20 Eggs,N,2132.972,28.284,14.142,1340160.128,1.34016E-06,1.47418E-06,,,
5959,18,20 Eggs,N,1694.333,25.096,12.548,838103.5154,8.38104E-07,9.21914E-07,,,
5959,19,20 Eggs,N,1893.655,23.599,11.7995,828281.4609,8.28281E-07,9.1111E-07,,,
5959,20,20 Eggs,N,1645.773,25.633,12.8165,849295.2391,8.49295E-07,9.34225E-07,,,
5959,21,20 Eggs,Y(Tail),844.566,22.4,11.2,332827.7369,3.32828E-07,3.66111E-07,,,
5960,1,20 Eggs,N,1971.497,26.984,13.492,1127453.55,1.12745E-06,1.2402E-06,,,
5960,2,20 Eggs,N,1777.659,28.247,14.1235,1113994.373,1.11399E-06,1.22539E-06,,,
5960,3,20 Eggs,N,2050.711,22.991,11.4955,851353.7733,8.51354E-07,9.36489E-07,,,
5960,4,20 Eggs,N,2328.551,23.766,11.883,1032970.268,1.03297E-06,1.13627E-06,,,
5960,5,20 Eggs,N,1998.31,22.657,11.3285,805670.6676,8.05671E-07,8.86238E-07,,,
5960,6,20 Eggs,N,1581.087,22.743,11.3715,642304.7769,6.42305E-07,7.06535E-07,,,
5960,7,20 Eggs,N,2469.682,24.211,12.1055,1136989.288,1.13699E-06,1.25069E-06,,,
5960,8,20 Eggs,N,2347.432,25.954,12.977,1241913.942,1.24191E-06,1.36611E-06,,,
5960,9,20 Eggs,N,2223.01,27.419,13.7095,1312606.41,1.31261E-06,1.44387E-06,,,
5960,10,20 Eggs,N,1711.673,24.257,12.1285,791015.2529,7.91015E-07,8.70117E-07,,,
5960,11,20 Eggs,N,1696.017,27.072,13.536,976249.3667,9.76249E-07,1.07387E-06,,,
5960,12,20 Eggs,N,2008.144,26.41,13.205,1100073.076,1.10007E-06,1.21008E-06,,,
5960,13,20 Eggs,N,2385.624,25.192,12.596,1189096.695,1.1891E-06,1.30801E-06,,,
5960,14,20 Eggs,N,1760.692,23.923,11.9615,791415.502,7.91416E-07,8.70557E-07,,,
5960,15,20 Eggs,Y(Tail),1351.101,22.663,11.3315,545020.069,5.4502E-07,5.99522E-07,,,
5960,16,20 Eggs,N,2096.101,21.359,10.6795,751041.4701,7.51041E-07,8.26146E-07,,,
5960,17,20 Eggs,N,2103.076,25.773,12.8865,1097172.203,1.09717E-06,1.20689E-06,,,
